city,country,lat,lon,tzname
New York,USA,40.71,-74.01,America/New_York
Jersey City,USA,40.73,-74.08,America/New_York
Edison,USA,40.52,-74.41,America/New_York
Boston,USA,42.36,-71.06,America/New_York
Philadelphia,USA,39.95,-75.17,America/New_York
Washington DC,USA,38.91,-77.04,America/New_York
Atlanta,USA,33.75,-84.39,America/New_York
Miami,USA,25.76,-80.19,America/New_York
Detroit,USA,42.33,-83.05,America/Detroit
Chicago,USA,41.88,-87.63,America/Chicago
Houston,USA,29.76,-95.37,America/Chicago
Dallas,USA,32.78,-96.80,America/Chicago
Austin,USA,30.27,-97.74,America/Chicago
Minneapolis,USA,44.98,-93.27,America/Chicago
Denver,USA,39.74,-104.99,America/Denver
Phoenix,USA,33.45,-112.07,America/Phoenix
Seattle,USA,47.61,-122.33,America/Los_Angeles
San Francisco,USA,37.77,-122.42,America/Los_Angeles
San Jose,USA,37.34,-121.89,America/Los_Angeles
Fremont,USA,37.55,-121.99,America/Los_Angeles
Los Angeles,USA,34.05,-118.24,America/Los_Angeles
San Diego,USA,32.72,-117.16,America/Los_Angeles
Toronto,Canada,43.65,-79.38,America/Toronto
Brampton,Canada,43.73,-79.76,America/Toronto
Ottawa,Canada,45.42,-75.70,America/Toronto
Montreal,Canada,45.50,-73.57,America/Toronto
Calgary,Canada,51.05,-114.07,America/Edmonton
Edmonton,Canada,53.55,-113.49,America/Edmonton
Vancouver,Canada,49.28,-123.12,America/Vancouver
Surrey,Canada,49.11,-122.83,America/Vancouver
London,UK,51.51,-0.13,Europe/London
Birmingham,UK,52.48,-1.90,Europe/London
Manchester,UK,53.48,-2.24,Europe/London
Leicester,UK,52.64,-1.13,Europe/London
Leeds,UK,53.80,-1.55,Europe/London
Glasgow,UK,55.86,-4.25,Europe/London
Edinburgh,UK,55.95,-3.19,Europe/London
Dublin,Ireland,53.35,-6.26,Europe/Dublin
Paris,France,48.86,2.35,Europe/Paris
Frankfurt,Germany,50.11,8.68,Europe/Berlin
Berlin,Germany,52.52,13.40,Europe/Berlin
Munich,Germany,48.14,11.58,Europe/Berlin
Amsterdam,Netherlands,52.37,4.90,Europe/Amsterdam
Brussels,Belgium,50.85,4.35,Europe/Brussels
Zurich,Switzerland,47.38,8.54,Europe/Zurich
Geneva,Switzerland,46.20,6.14,Europe/Zurich
Stockholm,Sweden,59.33,18.07,Europe/Stockholm
Oslo,Norway,59.91,10.75,Europe/Oslo
Copenhagen,Denmark,55.68,12.57,Europe/Copenhagen
Helsinki,Finland,60.17,24.94,Europe/Helsinki
Warsaw,Poland,52.23,21.01,Europe/Warsaw
Prague,Czechia,50.08,14.44,Europe/Prague
Vienna,Austria,48.21,16.37,Europe/Vienna
Rome,Italy,41.90,12.50,Europe/Rome
Milan,Italy,45.46,9.19,Europe/Rome
Madrid,Spain,40.42,-3.70,Europe/Madrid
Barcelona,Spain,41.39,2.17,Europe/Madrid
Lisbon,Portugal,38.72,-9.14,Europe/Lisbon
Moscow,Russia,55.76,37.62,Europe/Moscow
Dubai,UAE,25.20,55.27,Asia/Dubai
Abu Dhabi,UAE,24.45,54.38,Asia/Dubai
Sharjah,UAE,25.35,55.42,Asia/Dubai
Doha,Qatar,25.29,51.53,Asia/Qatar
Kuwait City,Kuwait,29.38,47.99,Asia/Kuwait
Riyadh,Saudi Arabia,24.71,46.68,Asia/Riyadh
Jeddah,Saudi Arabia,21.49,39.19,Asia/Riyadh
Dammam,Saudi Arabia,26.42,50.09,Asia/Riyadh
Muscat,Oman,23.59,58.38,Asia/Muscat
Manama,Bahrain,26.23,50.59,Asia/Bahrain
Singapore,Singapore,1.35,103.82,Asia/Singapore
Kuala Lumpur,Malaysia,3.14,101.69,Asia/Kuala_Lumpur
Bangkok,Thailand,13.76,100.50,Asia/Bangkok
Jakarta,Indonesia,-6.21,106.85,Asia/Jakarta
Hong Kong,Hong Kong,22.32,114.17,Asia/Hong_Kong
Shanghai,China,31.23,121.47,Asia/Shanghai
Beijing,China,39.90,116.41,Asia/Shanghai
Tokyo,Japan,35.68,139.69,Asia/Tokyo
Osaka,Japan,34.69,135.50,Asia/Tokyo
Seoul,South Korea,37.57,126.98,Asia/Seoul
Manila,Philippines,14.60,120.98,Asia/Manila
Kathmandu,Nepal,27.72,85.32,Asia/Kathmandu
Colombo,Sri Lanka,6.93,79.85,Asia/Colombo
Dhaka,Bangladesh,23.81,90.41,Asia/Dhaka
Chittagong,Bangladesh,22.36,91.78,Asia/Dhaka
Karachi,Pakistan,24.86,67.01,Asia/Karachi
Lahore,Pakistan,31.55,74.34,Asia/Karachi
Islamabad,Pakistan,33.68,73.05,Asia/Karachi
Yangon,Myanmar,16.87,96.20,Asia/Yangon
Sydney,Australia,-33.87,151.21,Australia/Sydney
Melbourne,Australia,-37.81,144.96,Australia/Melbourne
Brisbane,Australia,-27.47,153.03,Australia/Brisbane
Perth,Australia,-31.95,115.86,Australia/Perth
Adelaide,Australia,-34.93,138.60,Australia/Adelaide
Auckland,New Zealand,-36.85,174.76,Pacific/Auckland
Wellington,New Zealand,-41.29,174.78,Pacific/Auckland
Suva,Fiji,-18.14,178.44,Pacific/Fiji
Nairobi,Kenya,-1.29,36.82,Africa/Nairobi
Johannesburg,South Africa,-26.20,28.05,Africa/Johannesburg
Cape Town,South Africa,-33.92,18.42,Africa/Johannesburg
Durban,South Africa,-29.86,31.03,Africa/Johannesburg
Lagos,Nigeria,6.52,3.38,Africa/Lagos
Cairo,Egypt,30.04,31.24,Africa/Cairo
Port Louis,Mauritius,-20.16,57.50,Indian/Mauritius
Sao Paulo,Brazil,-23.55,-46.63,America/Sao_Paulo
Buenos Aires,Argentina,-34.60,-58.38,America/Argentina/Buenos_Aires
Mexico City,Mexico,19.43,-99.13,America/Mexico_City
